# restwave bluenorm blueerr rednorm rederr
953.635 0.310 0.125 0.702 0.114
953.767 0.233 0.124 0.776 0.116
953.899 0.338 0.126 0.758 0.116
954.031 0.199 0.124 0.870 0.115
954.162 0.397 0.125 0.615 0.113
954.294 0.254 0.124 0.690 0.114
954.426 0.475 0.126 0.639 0.114
954.557 0.564 0.126 0.650 0.114
954.689 0.543 0.126 0.619 0.113
954.821 0.707 0.127 0.674 0.113
954.953 0.655 0.126 0.860 0.114
955.084 0.749 0.127 0.808 0.114
955.216 0.765 0.127 0.661 0.113
955.348 0.374 0.124 0.586 0.112
955.479 0.348 0.124 0.611 0.112
955.611 0.721 0.127 0.746 0.113
955.743 0.759 0.127 0.951 0.114
955.875 1.017 0.129 0.849 0.114
956.006 1.001 0.129 0.810 0.114
956.138 0.914 0.128 0.945 0.114
956.270 0.809 0.127 0.749 0.113
956.401 0.789 0.127 0.627 0.112
956.533 0.696 0.126 0.671 0.113
956.665 0.588 0.126 0.818 0.114
956.797 0.469 0.126 0.800 0.115
956.928 0.573 0.127 0.725 0.115
957.060 0.762 0.129 0.803 0.115
957.192 0.626 0.128 0.963 0.116
957.323 0.856 0.128 0.859 0.114
957.455 1.016 0.129 1.097 0.115
957.587 0.844 0.128 0.872 0.114
957.719 0.817 0.129 0.821 0.114
957.850 0.827 0.128 0.984 0.115
957.982 0.977 0.128 0.915 0.115
958.114 0.936 0.129 1.079 0.116
958.246 0.851 0.128 0.990 0.115
958.377 0.623 0.124 0.816 0.112
958.509 0.591 0.126 0.613 0.111
958.641 0.628 0.127 0.780 0.113
958.772 0.452 0.124 0.690 0.113
958.904 0.581 0.123 0.727 0.111
959.036 0.726 0.123 0.677 0.109
959.168 0.587 0.121 0.835 0.109
959.299 0.564 0.121 0.792 0.109
959.431 0.849 0.122 0.744 0.109
959.563 0.677 0.124 0.726 0.108
959.694 0.376 0.124 0.532 0.107
959.826 0.497 0.124 0.389 0.105
959.958 0.310 0.116 0.355 0.104
960.090 0.279 0.114 0.286 0.103
960.221 0.538 0.115 0.301 0.103
960.353 0.662 0.115 0.615 0.104
960.485 0.570 0.115 0.752 0.104
960.616 0.849 0.118 1.004 0.106
960.748 0.785 0.118 0.957 0.106
960.880 0.807 0.117 0.951 0.105
961.012 0.706 0.114 0.900 0.103
961.143 0.435 0.110 0.598 0.100
961.275 0.595 0.111 0.849 0.101
961.407 0.777 0.113 0.885 0.102
961.538 0.915 0.114 0.841 0.102
961.670 0.807 0.115 0.817 0.102
961.802 0.717 0.115 0.706 0.102
961.934 0.702 0.113 0.604 0.101
962.065 0.566 0.111 0.548 0.100
962.197 0.698 0.112 0.442 0.098
962.329 0.770 0.111 0.844 0.100
962.460 0.701 0.110 0.769 0.099
962.592 0.603 0.109 0.738 0.098
